OBJECTID,NBRDESC,ACRES,LABEL,COLOR_2
171,NORTHWEST COMMUNITY ACTION,74.21146215,Northwest Community Action,3
172,O'DONNELL HEIGHTS,101.0562307,O'Donnell Heights,5
173,OAKENSHAWE,40.0041192,Oakenshawe,1
174,OAKLEE,26.07691926,Oaklee,5
175,OLDTOWN,107.12345,Oldtown,2
176,OLIVER,168.2751797,Oliver,4
177,ORANGEVILLE,236.4901033,Orangeville,1
178,ORANGEVILLE INDUSTRIAL AREA,285.0372512,Orangeville Industrial Area,3
179,ORIGINAL NORTHWOOD,110.3544031,Original Northwood,3
180,OTTERBEIN,65.61085855,Otterbein,2
181,OVERLEA,194.7541766,Overlea,4
182,PANWAY/BRADDISH AVENUE,51.93476035,Panway/Braddish Avenue,4
183,PARK CIRCLE,198.7550519,Park Circle,5
184,PARKLANE,79.26942266,Parklane,1
185,PARKSIDE,75.19961886,Parkside,5
186,PARKVIEW/WOODBROOK,63.07015008,Parkview/Woodbrook,5
187,PATTERSON PARK,144.5696298,Patterson Park,5
188,PATTERSON PLACE,24.3247487,Patterson Place,4
189,PEN LUCY,109.8089424,Pen Lucy,1
190,PENN NORTH,86.52870661,Penn North,1
191,PENN-FALLSWAY,86.05618834,Penn-Fallsway,3
192,PENROSE/FAYETTE STREET OUTREACH,225.8738412,Penrose/Fayette Street Outreach,5
193,PERKINS HOMES,23.72053979,Perkins Homes,1
194,PERRING LOCH,139.9654738,Perring Loch,3
195,PIMLICO GOOD NEIGHBORS,189.2497103,Pimlico Good Neighbors,1
196,PLEASANT VIEW GARDENS,29.43996947,Pleasant View Gardens,5
197,POPPLETON,116.5736712,Poppleton,5
198,PORT COVINGTON,212.4371348,Port Covington,5
199,PULASKI INDUSTRIAL AREA,1259.332135,Pulaski Industrial Area,1
200,PURNELL,24.80398332,Purnell,3
201,RADNOR-WINSTON,50.29626238,Radnor-Winston,2
202,RAMBLEWOOD,99.74638126,Ramblewood,3
203,REISTERSTOWN STATION,290.1015282,Reisterstown Station,4
204,REMINGTON,157.0635142,Remington,3
205,RESERVOIR HILL,194.9472487,Reservoir Hill,5
206,RICHNOR SPRINGS,21.37667553,Richnor Springs,3
207,RIDGELY'S DELIGHT,31.39272808,Ridgely's Delight,2
208,RIVERSIDE,188.9324709,Riverside,3
209,ROGNEL HEIGHTS,108.7496104,Rognel Heights,1
210,ROLAND PARK,612.7956993,Roland Park,4
211,ROSEBANK,42.3293164,Rosebank,3
212,ROSEMONT,111.4713598,Rosemont,4
213,ROSEMONT EAST,161.3361922,Rosemont East,2
214,ROSEMONT HOMEOWNERS/TENANTS,40.33445041,Rosemont Homeowners/Tenants,1
215,SABINA-MATTFELDT,75.6123276,Sabina-Mattfeldt,2
216,SAINT AGNES,53.31138051,Saint Agnes,3
217,SAINT HELENA,36.29184877,Saint Helena,5
218,SAINT JOSEPHS,89.43852529,Saint Josephs,4
219,SAINT PAUL,66.35723377,Saint Paul,2
220,SANDTOWN-WINCHESTER,260.1728855,Sandtown-Winchester,5
221,SOUTH BALTIMORE,83.07626889,South Baltimore,2
222,SETON BUSINESS PARK,250.2635046,Seton Business Park,3
223,SETON HILL,47.71423064,Seton Hill,4
224,SHARP-LEADENHALL,44.20201332,Sharp-Leadenhall,5
225,SHIPLEY HILL,116.7039065,Shipley Hill,4
226,SOUTH CLIFTON PARK,60.40002725,South Clifton Park,3
227,SPRING GARDEN INDUSTRIAL AREA,172.9427215,Spring Garden Industrial Area,1
228,STADIUM AREA,105.0652317,Stadium Area,3
229,STONEWOOD-PENTWOOD-WINSTON,59.69286321,Stonewood-Pentwood-Winston,1
230,TAYLOR HEIGHTS,122.3886532,Taylor Heights,5
231,TEN HILLS,213.244178,Ten Hills,3
232,THE ORCHARDS,135.13212,The Orchards,4
233,TOWANDA-GRANTLEY,89.48549874,Towanda-Grantley,1
234,TREMONT,22.53834966,Tremont,2
235,TUSCANY-CANTERBURY,93.13417637,Tuscany-Canterbury,3
236,UNION SQUARE,42.4392161,Union Square,3
237,UNIVERSITY OF MARYLAND,96.64250347,University Of Maryland,1
238,UPLANDS,126.6230538,Uplands,5
239,UPPER FELLS POINT,81.46840858,Upper Fells Point,2
240,UPTON,187.5221864,Upton,3
241,VILLAGES OF HOMELAND,20.27163022,Villages Of Homeland,1
242,VIOLETVILLE,379.4053916,Violetville,2
243,WAKEFIELD,174.716209,Wakefield,3
244,WALBROOK,127.6361681,Walbrook,5
245,WALTHERSON,473.0782323,Waltherson,2
246,WASHINGTON HILL,100.6049578,Washington Hill,5
247,WASHINGTON VILLAGE/PIGTOWN,209.1529002,Washington Village/Pigtown,1
248,WAVERLY,98.95004622,Waverly,3
249,WEST ARLINGTON,174.5329246,West Arlington,3
250,WEST FOREST PARK,238.342363,West Forest Park,5
251,WEST HILLS,214.4542843,West Hills,5
252,WESTFIELD,274.5078014,Westfield,5
253,WESTGATE,213.0492824,Westgate,2
254,WESTPORT,318.5527772,Westport,3
255,WILSON PARK,59.99083622,Wilson Park,2
256,WINCHESTER,53.20175376,Winchester,2
257,WINDSOR HILLS,149.9036469,Windsor Hills,2
258,WINSTON-GOVANS,72.48828954,Winston-Govans,1
259,WOODBERRY,340.3638904,Woodberry,2
260,WOODBOURNE HEIGHTS,86.11668209,Woodbourne Heights,1
261,WOODBOURNE-MCCABE,48.0979175,Woodbourne-McCabe,2
262,WOODMERE,165.3682321,Woodmere,1
263,WYMAN PARK,70.63101901,Wyman Park,1
264,WYNDHURST,194.4206343,Wyndhurst,2
265,YALE HEIGHTS,122.9593753,Yale Heights,5
266,LOWER EDMONDSON VILLAGE,14.4550712,Lower Edmondson Village,4
267,WILHELM PARK,285.1700409,Wilhelm Park,1
268,EDGEWOOD,66.46189977,Edgewood,5
269,EVESHAM PARK,46.99480772,Evesham Park,5
270,BELVEDERE,66.33053398,Belvedere,1
271,WRENLANE,18.4630235,Wrenlane,4
272,YORK-HOMELAND,14.99714727,York-Homeland,3
273,CARE,54.23404076,CARE,2
274,DOWNTOWN WEST,70.20647827,Downtown West,4
275,BELAIR-EDISON,527.9685072,Belair-Edison,1
276,FOUR BY FOUR,45.31841749,Four By Four,4
277,CHARLES VILLAGE,168.5445399,Charles Village,5
278,OLD GOUCHER,37.07183202,Old Goucher,4
